kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,depth_duration_ratio,radius_period_ratio,impact_duration_ratio,insol_radius_ratio
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,2.26,0.26,-0.15,793.0,,,93.59,29.45,-16.65,35.8,1.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347,208.21639898562975,0.2381947225351728,0.049366018596787825,41.41150442477877
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443.0,,,9.11,2.87,-1.62,25.8,2.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347,194.09806966940315,0.05200448560923513,0.1300199689372088,3.2190812720848054
10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,19.89913995,1.494e-05,-1.494e-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,14.6,3.92,-1.31,638.0,,,39.3,31.04,-10.49,76.3,1.0,q1_q17_dr25_tce,5853.0,158.0,-176.0,4.544,0.044,-0.176,0.868,0.233,-0.078,297.00482,48.134129,15.436,6076.197957580518,0.7337000511924135,0.5437100213219616,2.691780821917808
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,,,891.96,668.95,-230.35,505.6,1.0,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597,3357.366367327263,19.26362459847944,0.5302504560735701,26.65750149432158
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,,,926.16,874.33,-314.24,40.9,1.0,q1_q17_dr25_tce,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509,364.64188576609246,1.0888537193712917,0.4236929585977636,336.7854545454545
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835.0,,,114.81,112.85,-36.7,66.5,1.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,330.2862117749483,0.35153121689054784,0.11709652845793884,29.43846153846154
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,,,427.65,420.33,-136.7,40.2,2.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,218.45742309407044,0.669982698869876,0.2426597032036176,154.38628158844764
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,,,807.74,793.91,-258.2,15.0,3.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714,93.24825030876904,0.6194992726085002,0.3108275010292302,508.0125786163522
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,2.128e-05,-2.128e-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,39.21,6.45,-9.67,1342.0,,,767.22,349.28,-365.49,47.7,1.0,q1_q17_dr25_tce,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,298.86435,42.151569,12.66,46.53524492234169,5.326150601549793,0.2327757865392274,19.566947207345066
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600.0,,,30.75,4.46,-6.66,161.9,1.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841,1390.3018643732141,0.3584620468170178,0.014711290915777858,5.338541666666667
